"","SubjID","Condition","Item","Region","GenderMatch","Referentiality","Phrase","RT","LogRT","Accuracy"
"5893",1680451172,"QuantificationalMatch",12,0,"Yes","Quantificational","Los soldados",688,6.53378883793334,1
"5894",1680451172,"QuantificationalMatch",12,7,"Yes","Quantificational","intentaron",848,6.7428806357919,1
"5895",1680451172,"QuantificationalMatch",12,10,"Yes","Quantificational","del principe",753,6.62406522779989,1
"5896",1680714619,"QuantificationalMatch",4,8,"Yes","Quantificational","asesinarlo",791,6.67329796776765,1
"5897",1680714619,"QuantificationalMatch",4,0,"Yes","Quantificational","Los espias",648,6.47389069635227,1
"5898",1681838506,"QuantificationalMatch",18,2,"Yes","Quantificational","que",280,5.63478960316925,1
"5899",1681838506,"QuantificationalMatch",18,3,"Yes","Quantificational","ninguna abuela",456,6.12249280951439,1
"5900",1681838506,"QuantificationalMatch",18,4,"Yes","Quantificational","ve",368,5.90808293816893,1
"5901",1681838506,"QuantificationalMatch",18,5,"Yes","Quantificational","desde",344,5.8406416573734,1
"5902",1680714619,"QuantificationalMatch",4,7,"Yes","Quantificational","intentaron",793,6.67582322163485,1
"5903",1680450752,"QuantificationalMatch",1,0,"Yes","Quantificational","Las profesoras",501,6.21660610108486,1
"5904",1680626112,"QuantificationalMatch",11,2,"Yes","Quantificational","que",425,6.05208916892442,1
"5905",1680626112,"QuantificationalMatch",11,5,"Yes","Quantificational","tras",424,6.04973345523196,1
"5906",1680626112,"QuantificationalMatch",11,12,"Yes","Quantificational","el correo.",424,6.04973345523196,1
"5907",1680626112,"QuantificationalMatch",11,0,"Yes","Quantificational","Las asesinos",617,6.42486902390539,1
"5908",1680539376,"QuantificationalMatch",12,0,"Yes","Quantificational","Los soldados",949,6.85540879860993,1
"5909",1680539376,"QuantificationalMatch",12,11,"Yes","Quantificational","enemigo.",523,6.25958146406492,1
"5910",1680626474,"QuantificationalMatch",14,5,"Yes","Quantificational","en",624,6.43615036836943,1
