SubjID,Condition,Item,Region,GenderMatch,Referentiality,Phrase,RT,LogRT,Accuracy
1681214120,ReferentialMismatch,9,4,No,Referential,la abogada,923,6.827629234502852,1
1681214120,ReferentialMismatch,9,5,No,Referential,no represento,952,6.858565034791365,1
1681214120,ReferentialMismatch,9,6,No,Referential,ante,892,6.79346613258001,1
1681214120,ReferentialMismatch,9,7,No,Referential,el tribunal,912,6.815639990074331,1
1681214120,ReferentialMismatch,9,8,No,Referential,lo quieren,834,6.726233402358747,1
1681054453,ReferentialMismatch,4,12,No,Referential,los comensales.,1185,7.077498053569231,1
1681054453,ReferentialMismatch,8,1,No,Referential,Los ingenieros,1166,7.061334366910438,1
1681054453,ReferentialMismatch,8,2,No,Referential,a los,735,6.5998704992128365,1
1681054453,ReferentialMismatch,8,3,No,Referential,que,1160,7.05617528410041,1
1681054453,ReferentialMismatch,8,4,No,Referential,la arquitecta,747,6.616065185132817,1
1681054453,ReferentialMismatch,8,5,No,Referential,no quiere,609,6.411818267709897,1
1681054453,ReferentialMismatch,8,6,No,Referential,en,418,6.035481432524756,1
1681054453,ReferentialMismatch,8,7,No,Referential,el equipo,420,6.040254711277414,1
1681234822,ReferentialMismatch,14,5,No,Referential,no escucho,287,5.659482215759621,1
1681234822,ReferentialMismatch,14,6,No,Referential,en,270,5.598421958998375,1
1681234822,ReferentialMismatch,14,7,No,Referential,el laboratorio,265,5.579729825986222,1
1681234822,ReferentialMismatch,14,8,No,Referential,la deberian,289,5.666426688112432,1
1681234822,ReferentialMismatch,14,9,No,Referential,echar,303,5.713732805509369,1
1681234822,ReferentialMismatch,14,10,No,Referential,del curso,285,5.652489180268651,1
1681234822,ReferentialMismatch,14,11,No,Referential,de Quimica,286,5.655991810819852,1
1681234822,ReferentialMismatch,14,12,No,Referential,organica.,318,5.762051382780177,1
1681234822,ReferentialMismatch,18,1,No,Referential,Los nietos,450,6.1092475827643655,1
1681040751,ReferentialMismatch,18,8,No,Referential,la intentaron,457,6.124683390894205,1
1681040751,ReferentialMismatch,18,9,No,Referential,llamar,351,5.860786223465865,1
1681040751,ReferentialMismatch,18,10,No,Referential,desde,360,5.886104031450156,1
1681040751,ReferentialMismatch,18,11,No,Referential,el telefono,568,6.342121418721152,1
